Country Name,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,USA,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Viet Nam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.344050432,,,,,2.765140986,,,,,,,,,,1.844704629,,,,,,,,,,,,,,0.990821859,,,,,,,,,,,,,,,,,,,,,,1.215855804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.072863657,3.69509734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.996823305,,,,,,2.631911226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111097623,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.068784653,,,4.414266011,,,,,,,,,2.358050037,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.441970378,,,,,2.979424477,,,,,,,,,,1.660601545,,,,,,,,,,5.256111985,,,,1.547608119,,,,,,,,,,,,,,,,,,,,,,3.358143073,,,,,,,,,,,,,,,,,,,1.578951343,,,,,,,,,,,,,,,2.883207467,4.428226488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.39257326,,,,,,,,,,,2.77753801,,,,,,2.694422964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96346428,,,,,,,,,,,,,,,,,,1.593362427,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.698194038,,,5.81869286,,,,,,,,,1.551095196,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.881947516,,,,,2.897269753,,,,,,,,,,2.779866841,,,,,,,,,,6.18732746,,,,1.490687009,,,,,,,,,,,,,,,,,,,,,,1.804843313,,,,,,,,,,,,,,,,,,,2.517381329,,,,,,,,,,,,,,,4.671116781,4.133239248,,10.6389139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.16951287,,,,,,,,,,,3.078538404,,,,,,3.627779924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.60248647,,,5.608700445,,,,,,,,,,,,,,,2.090859293,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.137043256,,,7.120722286,,,,,,,,,3.764724377,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.884621294,,,,,2.547557068,1.458342671,,,,,,,,,4.037241469,,,,,,,,,,7.050350201,,,,1.752430162,,,,,,,,,,,,,,,,,,,,,,1.727310583,,,,,,,,,,,,,,,,,,,2.032427084,,,,,,,,,,,,,,,4.312497315,4.37187718,,10.34375304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11331686,,,,,,,,,,,3.827023047,,,,,,4.345882642,,,,,,,,,,,,,,,,,,,,,,,,,1.458342671,,,,10.11606252,,,4.847760622,,,,,,,,,,,,,,,2.687819606,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.104354247,,,8.931853031,,,,,,,,,3.962600883,,
1974,,3.825032607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.050675783,,,,,2.300512246,1.479153906,,,,,,,,,2.609054165,,,,,,,,,,6.564688045,,,,1.224286739,,,,,6.467160897,,,,,,,,,,,,,,,,,1.60349926,,,,,,,,,,,,,,,,1.137894963,,,1.728832861,,,,,,,,,,,,,,,2.412654307,4.683392037,,9.090528897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.598663531,,,,,,,,13.51339394,,,,,,,,,,4.257651267,4.502913953,,,,,,4.422128547,,,,,,1.224938753,,,,,,,,,,,,,,,,,,,1.479153906,,,,21.61175882,,,3.730841222,,,,,,,,,,,,,,,1.597842517,0.903392448,,,,,,,5.278414568,,,,,,,,,,,,,6.467160897,,,,,,,4.857933212,,,16.20608808,,,,,,,,,3.864539612,,
1975,,2.652473043,,,,,,20.47158508,,,,,,,,,,,,,,,2.433077519,,,,,,,2.949724907,1.890764595,,,,,1.818443237,1.81592088,,,1.21743755,,,,,,3.162581575,,,,,,,,,,5.191232733,,,0.999517589,1.327835678,,,,,3.396697569,4.259330994,,,4.73359681,,4.865672493,,,4.58569615,,0.744024275,,3.989306968,,,,1.185266358,,1.914535704,,,,,,,,,,,,6.312273547,,2.431806835,,,0.909498554,,,,,,,,,3.874054855,,,,,,2.056261208,3.386186546,,7.199076946,,,1.625729882,,,,,,7.481679035,,,,,,,10.92638969,,,,0.83118369,,,,,,,,,,1.718651024,,,0.850167135,,,,,,,,15.04340297,,,,,,,1.831300282,,,4.174490777,3.585498779,,,,,,3.503725205,1.93887965,,,,4.048796257,1.445113958,,,,,,,,,,,,10.72797304,4.325426847,,,4.110891267,,,1.81592088,,,3.791694839,22.6752246,,,4.089850042,,,,,,,,,,,,,,,2.113342825,2.70562299,,,,,,,2.788315143,,6.551425041,,,10.94859046,,,,3.791694839,,9.193190755,,3.396697569,,,,,,,3.892803797,,,15.44231588,,,,,6.517709104,,,,2.732969406,,
1976,,2.222894662,,,,,,,,5.864907514,,,,,,,,,,,3.509092747,,2.656445962,0.937600743,,,,,3.527025764,4.484179709,1.217673915,,,2.795083074,,1.70516575,1.670516031,,,3.019970196,,,,,,5.65919628,,,,9.46383417,,,,7.471577294,,4.846357086,,0.729118585,0.867142818,1.462857782,,,10.54435351,,3.103266115,3.832658187,4.324207555,,4.255468489,,3.979768663,,,4.126229568,,0.785692475,,2.913423147,,,,0.955099757,,1.366637116,,,,,,2.561424987,,,,,,5.189839682,,2.709174098,,,1.538343892,,6.48377379,,,,,,,7.312783222,,,5.428731797,,1.666221939,2.373928357,3.436783551,0.310640341,5.30497191,,,2.579635173,,,,,2.355509748,6.69372886,4.746750072,,,,,1.236243479,7.884048391,,,,1.566939174,,,,5.213031105,,,,,,1.829177397,,,1.222245067,,11.59215178,,,,,,16.43787919,6.813229138,,,,,,2.365798647,2.805732153,,6.010609825,3.026352905,,,,,,3.170327395,1.671911302,8.767433462,,,3.58047639,1.939322096,8.689293605,2.919381501,,,,,4.5055911,,,,,9.61321576,5.730355048,,,3.639389069,,,1.670516031,,,6.417051201,15.17455167,,,4.075011767,,,3.325044267,,,,,,,8.9907954,,,,,1.563031736,4.130338242,,1.662205506,,,,,2.547680514,,6.172464492,,,7.906827126,,,,6.417051201,,10.43516139,2.393286292,3.103266115,,1.865022282,,,,,3.262006523,,,11.68484989,,,,,5.405077228,,,,2.107622618,,
1977,,2.767165844,,3.584975251,,,,10.19651231,,8.174252749,,,1.391919192,,,,,,,,2.295150054,,2.534817777,1.197764237,,,,,4.467822739,4.795567096,1.405789453,,,3.130223425,1.776396285,1.494019959,1.183636486,10.42915972,,2.39220016,,,0.487836786,,,7.688694739,,10.31671271,2.008161063,11.22652731,,,,6.361767625,,4.965239863,,1.189530864,1.378571634,1.960014822,3.457944896,,8.557792027,,2.270663926,4.934697449,4.122435168,1.720741581,4.557942615,,4.835135312,,5.43110088,4.416847015,,0.880984468,,3.07890319,,,,3.21013533,,1.880676856,,,,,,2.593870767,4.602305561,,6.017064441,,0.746993902,5.372760035,,2.965563669,,,1.50951836,,6.360286844,6.047632474,3.662178757,3.746373374,,3.476372791,,10.3910421,,,5.966100003,,1.616502946,2.630208084,4.713649001,0.557199465,5.578711138,,,3.864162115,,,,,2.70223012,6.240414989,5.711852238,,,,8.09967027,,6.822080447,,,,4.408938718,5.693391569,5.66640519,,,,,,,,1.715257783,,,1.814020684,,9.179821448,,,5.708070097,,,15.80861323,4.679590797,5.739565132,,,,,1.489480536,1.641174681,,5.78217868,3.08085,,,,3.685047758,1.977773216,3.253169805,1.475665606,9.109955097,,,4.472875378,2.64545341,8.340678018,2.670063155,0.551810058,2.006562354,3.780974367,,6.275294138,,,,,9.368586994,6.729940503,,,4.506458662,,,1.183636486,,,9.132059641,12.56258549,0.298353286,,4.031876387,0.794508602,1.724293005,3.106656071,,,,3.236222191,,3.234663393,9.588187018,,,,,2.138257732,4.834828142,,2.114638595,2.595043261,,0.94762208,,1.85688177,,4.985282383,,,6.842397719,,5.739565132,5.541341065,9.132059641,3.234663393,12.55717704,2.124074413,2.270663926,,4.013952069,,,,,3.297937542,,,8.324007463,,,,,5.501918676,2.574434287,,,2.029219272,,1.16854933
1978,,2.336492355,,1.923308474,,,,5.572217279,,11.77246536,,,1.44516129,,,,,,,,2.330479359,,2.335114421,0.915742734,,,,,3.555938154,6.773181374,1.945298491,,,3.788845353,1.50205416,1.565404732,1.423982395,11.44737147,,4.041921827,,,0.443612615,,0.227270774,8.61376808,,7.424866835,1.810938902,11.9647454,,,,6.02214305,,5.769439122,,0.7778526,2.23675878,1.625820949,3.659811308,,6.507369403,,3.772692812,5.802256943,3.517841374,1.8808562,5.409446228,,7.15319982,,4.350190346,5.242096129,,1.747646628,,3.73338053,,,0.217056826,2.376178367,,3.558416905,,,2.662417799,,,3.300774267,3.661789813,,5.932261889,,2.075588966,5.334112685,,2.554658634,,,1.503983871,,6.895138008,6.565700878,2.606821216,2.212289372,,3.106953244,,10.5609208,,,7.081238324,,1.969502425,3.570566708,5.48679137,0.566700359,6.367386026,,,1.928408651,,,,,1.811853706,5.691446143,7.739595244,,,,6.513056235,0.915174317,7.685806745,,,,4.380039731,6.290569353,6.457427711,,6.476553292,,,,,,2.181723822,,,1.215055139,,6.070954474,,,6.510688488,,,17.78624499,3.262041076,5.92253536,,,,,2.621666984,1.110138457,2.134582161,5.349576292,3.399658365,,,,1.613072951,0.890661106,3.219794485,1.993990913,7.663921344,,,5.22274438,2.419358907,9.278080847,2.331827808,0.926032217,2.777937521,3.995530343,,4.933073212,,,,,11.66480054,8.907005072,,,5.249534743,,,1.423982395,,,9.340555399,6.234668699,0.366367409,,4.48378649,6.231810372,1.216807128,3.528676966,,,,2.174563952,,2.173360358,10.44142328,,,,,2.517038301,3.994205285,,1.296060093,2.417668626,,0.606761733,,2.809907966,,4.850168721,,,7.705580655,,5.92253536,5.146108543,9.340555399,2.173360358,13.52813873,2.41251918,3.772692812,,0.949112804,,,6.710591392,13.2350129,3.625705149,,1.629859317,6.383531934,,,,,5.544623896,1.026347131,,,2.263245951,0.975154182,2.262917382
1979,,3.763890806,14.06740466,4.682713368,,,,5.498925582,,13.30517539,,,1.672401434,,,,,,,,2.293874135,,2.629373911,1.067827803,,,,,4.79274247,4.143630515,1.649537647,,,4.700398868,2.357399324,2.141949307,1.811740496,14.83840309,,5.401249979,,,0.917072556,,0.849361226,13.36914111,,6.548692056,1.164182542,10.49914808,,,,5.963907351,,5.949655356,,2.8999181,2.014848204,2.087919277,5.489144579,,8.193540832,,5.011688099,7.222484085,3.577780406,2.628569281,6.535456998,,8.105843891,,5.389468313,6.320410759,,1.781255936,3.119892809,5.248975744,,,0.191546605,2.32505511,,4.293517997,,,0.160305574,,,3.681897471,2.634312434,,6.137593979,,0.528171668,6.71590329,,2.421113994,7.018155471,,2.237455665,,8.570186493,8.182447433,4.798553872,4.079188139,,6.00974213,,11.41289678,,,13.75885983,,2.035467513,3.824370316,7.091678525,0.580034943,6.803133248,,,3.615324756,,,,,1.547450611,6.626460138,8.415528184,,,56.72627485,7.686889209,0.919706499,9.00510129,7.921319649,8.405591804,,4.139031413,8.833480138,8.042478258,,6.356055433,,,,,,2.131975481,,,0.063087297,0.177020213,7.680030209,1.708503049,,8.0342956,,,15.65797755,4.75945697,9.584495781,,,,,3.436623005,0.85732018,1.579709493,5.231471444,5.74563985,,,,4.434421596,3.144951496,4.326168851,2.629319885,8.593647187,,,6.792527214,3.676610188,8.319026697,2.535667138,0.490113541,7.173397957,4.620460927,,5.401147863,0.761966668,,,,18.71187068,9.324408709,,3.627307087,6.797712019,,,2.361659505,,,10.34537844,5.156458969,0.746108019,,3.60842061,5.289835855,1.242036934,3.487673698,,,,4.194892934,,4.192470983,9.080271065,,,,,2.188941664,2.925656804,,1.268119691,3.302722401,,1.615285281,,3.158664801,,4.223033602,,,9.025870608,,9.584495781,5.588731593,10.34537844,4.192470983,11.73901249,2.464872496,5.011688099,,0.670078965,,,7.296741898,15.01561604,6.103344406,,2.011717933,10.17839921,,,,,6.99298526,0.735266932,,,3.85095178,1.646386399,4.043393023
